country,company_name,address,city,phone,website,email,place_id,scraped_emails,scraping_error,all_emails
Czech Republic,"České Ploty, s.r.o","Do Višňovky 10, 251 01 Herink-Říčany u Prahy, Czechia",Prague,,http://www.ceskeploty.cz/,,ChIJESJgzgGPC0cRlx8A1fJYhTA,,HTTP 503,
Czech Republic,"BETONPLOT - PLOTY NA MÍRU, Praha-Kunratice - Výroba, prodej, montáž oplocení, brány a branky","Kunratice Praha 4 - Kunratice CZ, Vídeňská 49/134, 148 00 Praha 4, Czechia",Prague,,https://betonplot.cz/,,ChIJqQ-pqJ2RC0cRw7dfoZhvM6U,"info@plotynamiru.cz , info@plotynamiru.cz",,"info@plotynamiru.cz, info@plotynamiru.cz "
Czech Republic,"Cheap Fences, Ltd.","Ve žlíbku 1849, 193 00 Praha 9, Czechia",Prague,,https://www.levne-ploty.cz/,objednavky@boppe.cz,ChIJAUVJTXiTC0cRbS8FBnlMXE0,objednavky@boppe.cz,,objednavky@boppe.cz
Czech Republic,"Mobilní oplocení - Výrobce stavebních plotů ,,BauZaunex,,","Slavíkova 1198, 130 00 Praha 3-Žižkov, Czechia",Prague,,,,ChIJtxNn_WqVC0cR2xG5hvM3nD8,,No website,
Czech Republic,Ploty Šmíd,"Svatá 62, 267 51 Svatá, Czechia",Prague,,https://www.ploty-montaz.cz/,info@ploty-montaz.cz,ChIJ34p1acKuC0cRtVrDtrwHkA4,info@ploty-montaz.cz,,info@ploty-montaz.cz
Czech Republic,Betonové ploty Praha,"Boleslavská 1384, 250 01 Brandýs nad Labem-Stará Boleslav 1, Czechia",Prague,,https://www.betonplotypraha.cz/,info@betonplotypraha.cz,ChIJX0OfmznxC0cRV_WsR7Yo8Ik,,SSL Error,info@betonplotypraha.cz
Czech Republic,M&M PLOTY s.r.o.,"Újezd pod Troskami 45, 512 63 Újezd pod Troskami, Czechia",Prague,,https://eshop.mmploty.cz/,jan@novak.cz,ChIJv6WRhVWvDkcRYgzlN2_QleQ,,HTTP 503,jan@novak.cz
Czech Republic,UNIPloty.cz - RM comp. s.r.o.,"Skoky 138, 751 25 Dolní Újezd-Veselíčko u Lipníka nad Bečvou, Czechia",Prague,,http://www.uniploty.cz/,uniploty@seznam.cz,ChIJUQYv-kGwE0cRSYpPGFSiHKs,"uniploty@seznam.cz, zabojjan@seznam.cz",,"uniploty@seznam.cz, zabojjan@seznam.cz"
Czech Republic,ploty-dlazba.cz,"Okrouhlo 236, 254 01 Okrouhlo, Czechia",Prague,,http://ploty-dlazba.cz/kontakt/,info@ploty-dlazba.cz,ChIJmZ9lKGWaC0cRjpUCuS77PcI,,SSL Error,info@ploty-dlazba.cz
Czech Republic,Gabionové ploty - opěrné zdi - výkopové práce,"Velvarská 1, 252 62 Horoměřice, Czechia",Prague,,https://www.gabiony-ploty-zdi.cz/,,ChIJv9bFtlfBC0cRCVBvDwY7e-w,info@gabionove-konstrukce.cz,,info@gabionove-konstrukce.cz
Czech Republic,Protoria,"7, V Kapslovně 2770, 130 00 Praha 3, Czechia",Prague,,http://www.plotnaklic.cz/,info@plotnaklic.cz,ChIJY6qszV-TC0cR9TDI3kVifs4,,,info@plotnaklic.cz
Czech Republic,Stavíme ploty s.r.o.,"Hněvotín 90, 783 47 Hněvotín, Czechia",Prague,,http://stavime-ploty.cz/,poptavky@stavime-ploty.cz,ChIJg2EKnMZNEkcRKovGn--GIL8,poptavky@stavime-ploty.cz,,poptavky@stavime-ploty.cz
Czech Republic,Prima ploty s.r.o. - ploty jednou provždy,"Nádražní 238, 503 53 Smidary, Czechia",Prague,,http://www.primaploty.cz/,obchod@primaploty.cz,ChIJzzCnpT0rDEcRTmC9iiR8Y2Y,obchod@primaploty.cz,,obchod@primaploty.cz
Czech Republic,PLOTY Martin Povýšil,"Jiráskova 547, 251 64 Mnichovice, Czechia",Prague,,http://www.oploceni.org/,info@oploceni.org,ChIJh145lCOIC0cReScFheSEePc,,SSL Error,info@oploceni.org
Czech Republic,Nové-ploty-ihned.cz,"U Kapličky 153/2, 277 32 Čečelice-Byšice, Czechia",Prague,,https://noveplotyihned.cz/,noveploty.ihned@gmail.com,ChIJJYYuZ23lC0cRcAQa1eDJeb8,noveploty.ihned@gmail.com,,noveploty.ihned@gmail.com
Czech Republic,Pavelka - ploty pro Váš dům,"Ředhošť 16, 411 20 Mšené-lázně-Ředhošť, Czechia",Prague,,http://www.ploty-pavelka.cz,info@ploty-pavelka.cz,ChIJe_vHKFrSC0cR4ztsBhNSYnI,,HTTP 503,info@ploty-pavelka.cz
Czech Republic,PLOTOVÉ CENTRUM KOPEČEK s.r.o. - pobočka Mukařov,"U Mototechny 274, 251 62 Tehovec-Mukařov, Czechia",Prague,,http://www.oploceni.cz/,,ChIJRa79XoKLC0cRqB0_quIWDD0,,,
Czech Republic,GOOD FENCES,"Pražská 161, 281 04 Plaňany, Czechia",Prague,,http://www.hezke-ploty.cz/,info@hezke-ploty.cz,ChIJvbo8BqDyC0cRkCBoogcB2W4,,,info@hezke-ploty.cz
Czech Republic,Mobilní ploty a oplocení,"Bečovská, 104 00 Praha 10, Czechia",Prague,,http://www.mobilni-oploceni.cz/,info@mobilniwecko.cz,ChIJ95Zf-aSNC0cRcJNGrHYqA98,info@mobilniwecko.cz,,info@mobilniwecko.cz
Czech Republic,Ploty a gabiony DOPS Bohemia,"Spodní, 159 00 Zbraslav, Czechia",Prague,,http://www.pletiva.com/,info@pletiva.com,ChIJWcHEUiiXC0cRMsUN5-8JkUs,,HTTP 503,info@pletiva.com
Czech Republic,"Ploty KODL, s.r.o. Plzeň | oplocení, pletivo, podhrabové desky, brány, vrata, vrátka - montáž, prodej, stavba","U Ježka 1265, 337 01 Rokycany 1, Czechia",Prague,,http://www.kodl-ploty.cz/oploceni/,obchod@kodl-ploty.cz,ChIJueA5Q778CkcRi2KjU-fk8J4,,SSL Error,obchod@kodl-ploty.cz
Czech Republic,Mobilní ploty Praha | ​WOLF service s.r.o.,"Bystrá, 193 00 Praha 20, Czechia",Prague,,https://ploty-mobilni.cz/,info@wolfservice.cz,ChIJ8zGKQw7zC0cRTxhxrojdfyc,,SSL Error,info@wolfservice.cz
Czech Republic,Jan Prokeš - realizace plotů,"Makotřasy 190, 273 54 Makotřasy, Czechia",Prague,,http://www.plotykokino.cz/,plotykokino@seznam.cz,ChIJq4oWApPLC0cRUKAG0Y8jcPE,plotykokino@seznam.cz,,plotykokino@seznam.cz
Czech Republic,"A - Z PLOTOVÉ CENTRUM, spol. s.r.o.","Stará pošta 67, 664 61 Rajhrad, Czechia",Prague,,http://www.oploceni.cz/,info@oploceni.cz,ChIJeQcCo2O_EkcRDC5SRKzdgXo,,,info@oploceni.cz
Czech Republic,MaPo ploty,"Hostislavova 642/7a, 641 00 Brno-Žebětín, Czechia",Prague,,http://www.mapo-ploty.cz/,info@mapo-ploty.cz,ChIJhVMgPpGXEkcRmvWi-2OMTvY,,SSL Error,info@mapo-ploty.cz
Czech Republic,Gardis,"5. května 856/58, 140 00 Praha 4-Nusle, Czechia",Prague,,http://www.gardis.cz/,info@gardis.cz,ChIJn9rTkuORC0cRKN33JCiLHko,info@gardis.cz,,info@gardis.cz
Czech Republic,HK ploty - Výstavba A Prodej Oplocení,"T. Novákové 1283/64, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia",Prague,,https://www.hk-ploty.cz/,hkploty@seznam.cz,ChIJgRRCu-KTEkcRrtVpnAqJ4bg,hkploty@seznam.cz,,hkploty@seznam.cz
Czech Republic,Ploty Opava: Stavba plotů a oplocení,"5, Horní 265, 747 05 Opava-Malé Hoštice, Czechia",Prague,,http://www.plotyopava.cz/,ploty@markiel.cz,ChIJm-_USYHYE0cRLEY1H9yL1eE,,,ploty@markiel.cz
Czech Republic,EUROPLOTY s.r.o.,"Rukavičkářská, 263 01 Dobříš, Czechia",Prague,,https://www.europloty.cz/,,ChIJ_5RwArcKC0cRWRCxs-C58Vs,,,
