country,company_name,address,city,phone,website,email,place_id
Czech Republic,"České Ploty, s.r.o","Do Višňovky 10, 251 01 Herink-Říčany u Prahy, Czechia",Prague,N/A,N/A,N/A,ChIJESJgzgGPC0cRlx8A1fJYhTA
Czech Republic,"BETONPLOT - PLOTY NA MÍRU, Praha-Kunratice - Výroba, prodej, montáž oplocení, brány a branky","Kunratice Praha 4 - Kunratice CZ, Vídeňská 49/134, 148 00 Praha 4, Czechia",Prague,N/A,N/A,N/A,ChIJqQ-pqJ2RC0cRw7dfoZhvM6U
Czech Republic,"Cheap Fences, Ltd.","Ve žlíbku 1849, 193 00 Praha 9, Czechia",Prague,N/A,https://www.levne-ploty.cz/,objednavky@boppe.cz,ChIJAUVJTXiTC0cRbS8FBnlMXE0
Czech Republic,Pletiva Dobrý a Urbánek s.r.o.,"Českobrodská 537, 190 11 Praha-Běchovice, Czechia",Prague,N/A,N/A,N/A,ChIJIf6UYTaNC0cR0tOnjgz08BY
Czech Republic,"Mobilní oplocení - Výrobce stavebních plotů ,,BauZaunex,,","Slavíkova 1198, 130 00 Praha 3-Žižkov, Czechia",Prague,N/A,N/A,N/A,ChIJtxNn_WqVC0cR2xG5hvM3nD8
Czech Republic,Ploty Šmíd,"Svatá 62, 267 51 Svatá, Czechia",Prague,N/A,https://www.ploty-montaz.cz/,info@ploty-montaz.cz,ChIJ34p1acKuC0cRtVrDtrwHkA4
Czech Republic,Betonové ploty Praha,"Boleslavská 1384, 250 01 Brandýs nad Labem-Stará Boleslav 1, Czechia",Prague,N/A,https://www.betonplotypraha.cz/,info@betonplotypraha.cz,ChIJX0OfmznxC0cRV_WsR7Yo8Ik
Czech Republic,Boppe s.r.o.,"Horní Počernice Praha 9 - Horní Počernice CZ, Ve žlíbku 1849/2A, 193 00 Praha 9, Czechia",Prague,N/A,N/A,N/A,ChIJObm7-HiTC0cReL1GIOIFQKk
Czech Republic,M&M PLOTY s.r.o.,"Újezd pod Troskami 45, 512 63 Újezd pod Troskami, Czechia",Prague,N/A,https://eshop.mmploty.cz/,jan@novak.cz,ChIJv6WRhVWvDkcRYgzlN2_QleQ
Czech Republic,UNIPloty.cz - RM comp. s.r.o.,"Skoky 138, 751 25 Dolní Újezd-Veselíčko u Lipníka nad Bečvou, Czechia",Prague,N/A,http://www.uniploty.cz/,uniploty@seznam.cz,ChIJUQYv-kGwE0cRSYpPGFSiHKs
Czech Republic,ploty-dlazba.cz,"Okrouhlo 236, 254 01 Okrouhlo, Czechia",Prague,N/A,http://ploty-dlazba.cz/kontakt/,info@ploty-dlazba.cz,ChIJmZ9lKGWaC0cRjpUCuS77PcI
Czech Republic,Gabionové ploty - opěrné zdi - výkopové práce,"Velvarská 1, 252 62 Horoměřice, Czechia",Prague,N/A,N/A,N/A,ChIJv9bFtlfBC0cRCVBvDwY7e-w
Czech Republic,Protoria,"7, V Kapslovně 2770, 130 00 Praha 3, Czechia",Prague,N/A,http://www.plotnaklic.cz/,info@plotnaklic.cz,ChIJY6qszV-TC0cR9TDI3kVifs4
Czech Republic,Stavíme ploty s.r.o.,"Hněvotín 90, 783 47 Hněvotín, Czechia",Prague,N/A,http://stavime-ploty.cz/,poptavky@stavime-ploty.cz,ChIJg2EKnMZNEkcRKovGn--GIL8
Czech Republic,Prima ploty s.r.o. - ploty jednou provždy,"Nádražní 238, 503 53 Smidary, Czechia",Prague,N/A,http://www.primaploty.cz/,obchod@primaploty.cz,ChIJzzCnpT0rDEcRTmC9iiR8Y2Y
Czech Republic,PLOTY Martin Povýšil,"Jiráskova 547, 251 64 Mnichovice, Czechia",Prague,N/A,http://www.oploceni.org/,info@oploceni.org,ChIJh145lCOIC0cReScFheSEePc
Czech Republic,Nové-ploty-ihned.cz,"U Kapličky 153/2, 277 32 Čečelice-Byšice, Czechia",Prague,N/A,https://noveplotyihned.cz/,noveploty.ihned@gmail.com,ChIJJYYuZ23lC0cRcAQa1eDJeb8
Czech Republic,Pavelka - ploty pro Váš dům,"Ředhošť 16, 411 20 Mšené-lázně-Ředhošť, Czechia",Prague,N/A,http://www.ploty-pavelka.cz,info@ploty-pavelka.cz,ChIJe_vHKFrSC0cR4ztsBhNSYnI
Czech Republic,PLOTOVÉ CENTRUM KOPEČEK s.r.o. - pobočka Mukařov,"U Mototechny 274, 251 62 Tehovec-Mukařov, Czechia",Prague,N/A,N/A,N/A,ChIJRa79XoKLC0cRqB0_quIWDD0
Czech Republic,GOOD FENCES,"Pražská 161, 281 04 Plaňany, Czechia",Prague,N/A,http://www.hezke-ploty.cz/,info@hezke-ploty.cz,ChIJvbo8BqDyC0cRkCBoogcB2W4
Czech Republic,Mobilní ploty a oplocení,"Bečovská, 104 00 Praha 10, Czechia",Prague,N/A,http://www.mobilni-oploceni.cz/,info@mobilniwecko.cz,ChIJ95Zf-aSNC0cRcJNGrHYqA98
Czech Republic,Ploty a gabiony DOPS Bohemia,"Spodní, 159 00 Zbraslav, Czechia",Prague,N/A,http://www.pletiva.com/,info@pletiva.com,ChIJWcHEUiiXC0cRMsUN5-8JkUs
Czech Republic,"Ploty KODL, s.r.o. Plzeň | oplocení, pletivo, podhrabové desky, brány, vrata, vrátka - montáž, prodej, stavba","U Ježka 1265, 337 01 Rokycany 1, Czechia",Prague,N/A,http://www.kodl-ploty.cz/oploceni/,obchod@kodl-ploty.cz,ChIJueA5Q778CkcRi2KjU-fk8J4
Czech Republic,Pletiva Dobrý a Urbánek s.r.o.,"Ledce 99, 330 11 Ledce, Czechia",Prague,N/A,N/A,N/A,ChIJyxGDkxSLCkcRI2kr558HNZY
Czech Republic,DOPS s.r.o.,"Radkyně 42, 509 01 Nová Paka, Czechia",Prague,N/A,N/A,N/A,ChIJdyDR7HiXDkcRMcikWQz0z9M
Czech Republic,DOPS Bohemia trading Ltd.,"1 Spodní 15900, 5 Praha, Czechia",Prague,N/A,N/A,N/A,ChIJP-IQUyiXC0cRDcHRJwyAOHE
Czech Republic,Mobilní ploty Praha | ​WOLF service s.r.o.,"Bystrá, 193 00 Praha 20, Czechia",Prague,N/A,https://ploty-mobilni.cz/,info@wolfservice.cz,ChIJ8zGKQw7zC0cRTxhxrojdfyc
Czech Republic,Jan Prokeš - realizace plotů,"Makotřasy 190, 273 54 Makotřasy, Czechia",Prague,N/A,http://www.plotykokino.cz/,plotykokino@seznam.cz,ChIJq4oWApPLC0cRUKAG0Y8jcPE
Czech Republic,"A - Z PLOTOVÉ CENTRUM, spol. s.r.o.","Stará pošta 67, 664 61 Rajhrad, Czechia",Prague,N/A,http://www.oploceni.cz/,info@oploceni.cz,ChIJeQcCo2O_EkcRDC5SRKzdgXo
Czech Republic,MaPo ploty,"Hostislavova 642/7a, 641 00 Brno-Žebětín, Czechia",Prague,N/A,http://www.mapo-ploty.cz/,info@mapo-ploty.cz,ChIJhVMgPpGXEkcRmvWi-2OMTvY
Czech Republic,Gardis,"5. května 856/58, 140 00 Praha 4-Nusle, Czechia",Prague,N/A,http://www.gardis.cz/,info@gardis.cz,ChIJn9rTkuORC0cRKN33JCiLHko
Czech Republic,HK ploty - Výstavba A Prodej Oplocení,"T. Novákové 1283/64, 621 00 Brno-Řečkovice a Mokrá Hora, Czechia",Prague,N/A,https://www.hk-ploty.cz/,hkploty@seznam.cz,ChIJgRRCu-KTEkcRrtVpnAqJ4bg
Czech Republic,Ploty Opava: Stavba plotů a oplocení,"5, Horní 265, 747 05 Opava-Malé Hoštice, Czechia",Prague,N/A,http://www.plotyopava.cz/,ploty@markiel.cz,ChIJm-_USYHYE0cRLEY1H9yL1eE
