country,company_name,address,city,phone,website,email,place_id
Czech Republic,"České Ploty, s.r.o","Do Višňovky 10, 251 01 Herink-Říčany u Prahy, Czechia",Prague,,http://www.ceskeploty.cz/,,ChIJESJgzgGPC0cRlx8A1fJYhTA
Czech Republic,"BETONPLOT - PLOTY NA MÍRU, Praha-Kunratice - Výroba, prodej, montáž oplocení, brány a branky","Kunratice Praha 4 - Kunratice CZ, Vídeňská 49/134, 148 00 Praha 4, Czechia",Prague,,https://betonplot.cz/,,ChIJqQ-pqJ2RC0cRw7dfoZhvM6U
Czech Republic,"Cheap Fences, Ltd.","Ve žlíbku 1849, 193 00 Praha 9, Czechia",Prague,,https://www.levne-ploty.cz/,objednavky@boppe.cz,ChIJAUVJTXiTC0cRbS8FBnlMXE0
Czech Republic,"Mobilní oplocení - Výrobce stavebních plotů ,,BauZaunex,,","Slavíkova 1198, 130 00 Praha 3-Žižkov, Czechia",Prague,,,,ChIJtxNn_WqVC0cR2xG5hvM3nD8
Czech Republic,Ploty Šmíd,"Svatá 62, 267 51 Svatá, Czechia",Prague,,https://www.ploty-montaz.cz/,info@ploty-montaz.cz,ChIJ34p1acKuC0cRtVrDtrwHkA4
Czech Republic,Betonové ploty Praha,"Boleslavská 1384, 250 01 Brandýs nad Labem-Stará Boleslav 1, Czechia",Prague,,https://www.betonplotypraha.cz/,info@betonplotypraha.cz,ChIJX0OfmznxC0cRV_WsR7Yo8Ik
Czech Republic,M&M PLOTY s.r.o.,"Újezd pod Troskami 45, 512 63 Újezd pod Troskami, Czechia",Prague,,https://eshop.mmploty.cz/,jan@novak.cz,ChIJv6WRhVWvDkcRYgzlN2_QleQ
Czech Republic,UNIPloty.cz - RM comp. s.r.o.,"Skoky 138, 751 25 Dolní Újezd-Veselíčko u Lipníka nad Bečvou, Czechia",Prague,,http://www.uniploty.cz/,uniploty@seznam.cz,ChIJUQYv-kGwE0cRSYpPGFSiHKs
Czech Republic,ploty-dlazba.cz,"Okrouhlo 236, 254 01 Okrouhlo, Czechia",Prague,,http://ploty-dlazba.cz/kontakt/,info@ploty-dlazba.cz,ChIJmZ9lKGWaC0cRjpUCuS77PcI
Czech Republic,Gabionové ploty - opěrné zdi - výkopové práce,"Velvarská 1, 252 62 Horoměřice, Czechia",Prague,,https://www.gabiony-ploty-zdi.cz/,,ChIJv9bFtlfBC0cRCVBvDwY7e-w
Czech Republic,Protoria,"7, V Kapslovně 2770, 130 00 Praha 3, Czechia",Prague,,http://www.plotnaklic.cz/,info@plotnaklic.cz,ChIJY6qszV-TC0cR9TDI3kVifs4
Czech Republic,Stavíme ploty s.r.o.,"Hněvotín 90, 783 47 Hněvotín, Czechia",Prague,,http://stavime-ploty.cz/,poptavky@stavime-ploty.cz,ChIJg2EKnMZNEkcRKovGn--GIL8
Czech Republic,Prima ploty s.r.o. - ploty jednou provždy,"Nádražní 238, 503 53 Smidary, Czechia",Prague,,http://www.primaploty.cz/,obchod@primaploty.cz,ChIJzzCnpT0rDEcRTmC9iiR8Y2Y
Czech Republic,PLOTY Martin Povýšil,"Jiráskova 547, 251 64 Mnichovice, Czechia",Prague,,http://www.oploceni.org/,info@oploceni.org,ChIJh145lCOIC0cReScFheSEePc
Czech Republic,Nové-ploty-ihned.cz,"U Kapličky 153/2, 277 32 Čečelice-Byšice, Czechia",Prague,,https://noveplotyihned.cz/,noveploty.ihned@gmail.com,ChIJJYYuZ23lC0cRcAQa1eDJeb8
Czech Republic,Pavelka - ploty pro Váš dům,"Ředhošť 16, 411 20 Mšené-lázně-Ředhošť, Czechia",Prague,,http://www.ploty-pavelka.cz,info@ploty-pavelka.cz,ChIJe_vHKFrSC0cR4ztsBhNSYnI
Czech Republic,PLOTOVÉ CENTRUM KOPEČEK s.r.o. - pobočka Mukařov,"U Mototechny 274, 251 62 Tehovec-Mukařov, Czechia",Prague,,http://www.oploceni.cz/,,ChIJRa79XoKLC0cRqB0_quIWDD0
Czech Republic,GOOD FENCES,"Pražská 161, 281 04 Plaňany, Czechia",Prague,,http://www.hezke-ploty.cz/,info@hezke-ploty.cz,ChIJvbo8BqDyC0cRkCBoogcB2W4
Czech Republic,Mobilní ploty a oplocení,"Bečovská, 104 00 Praha 10, Czechia",Prague,,http://www.mobilni-oploceni.cz/,info@mobilniwecko.cz,ChIJ95Zf-aSNC0cRcJNGrHYqA98
Czech Republic,Ploty a gabiony DOPS Bohemia,"Spodní, 159 00 Zbraslav, Czechia",Prague,,http://www.pletiva.com/,info@pletiva.com,ChIJWcHEUiiXC0cRMsUN5-8JkUs
Czech Republic,"Ploty KODL, s.r.o. Plzeň | oplocení, pletivo, podhrabové desky, brány, vrata, vrátka - montáž, prodej, stavba","U Ježka 1265, 337 01 Rokycany 1, Czechia",Prague,,http://www.kodl-ploty.cz/oploceni/,obchod@kodl-ploty.cz,ChIJueA5Q778CkcRi2KjU-fk8J4
