country,company_name,address,city,phone,website,email,place_id,scraped_emails,scraping_error,all_emails
Czech Republic,Protoria,"7, V Kapslovně 2770, 130 00 Praha 3, Czechia",Prague,,http://www.plotnaklic.cz/,info@plotnaklic.cz,ChIJY6qszV-TC0cR9TDI3kVifs4,,,info@plotnaklic.cz
Czech Republic,Pronájem mobilních generátorů a elektrocentrál Olomouc,"Přerovská 494, 779 00 Olomouc 9-Holice, Czechia",Olomouc,,https://www.pronajem-generatoru-elektrocentral.cz/,info@manek.cz,ChIJP-WQQ81NEkcRt24ZrVSfkKA,"infobrno@manek.cz, info@manek.cz",,"info@manek.cz, infobrno@manek.cz"
Czech Republic,AMSTOR s.r.o.,"Vážní 1184, 500 03 Hradec Králové 3-Slezské Předměstí, Czechia",Hradec Králové,,http://www.amstor.cz/,info@amstor.cz,ChIJq77duurUDUcRjwt3p6RU1HU,info@amstor.cz,,info@amstor.cz
Czech Republic,Blankyt - Kärcher autorizovaný partner Valašské Meziříčí,"Křižná 184, 757 01 Valašské Meziříčí 1-Krásno nad Bečvou, Czechia",Valašské Meziříčí,,https://www.blankyt.cz/prodejna-blankyt,info@blankyt.cz,ChIJJQaw5sCRE0cR0Dcccnx1qZE,"pradelna@blankyt, info@blankyt.cz, prodejna@blankyt.cz",,"info@blankyt.cz, pradelna@blankyt, prodejna@blankyt.cz"
Czech Republic,Victory Lawns s.r.o.,"Štursova 1375/20, 412 01 Litoměřice 1, Czechia",Litoměřice,,https://www.victorylawns.cz/,info@victorylawns.cz,ChIJTRoHa-6IDagRjJ65UUszEJU,info@victorylawns.cz,,info@victorylawns.cz
Czech Republic,Visitor center Novy Jicin - town of hats,"Masarykovo nám. 45, 741 01 Nový Jičín 1, Czechia",Nový Jičín,,http://www.icnj.cz/,icentrum@novyjicin.cz,ChIJa8LGa6yUE0cR25MLp4dxzi4,icentrum@novyjicin.cz,,icentrum@novyjicin.cz
Czech Republic,Castorama,"Graniczna 80, 43-400 Cieszyn, Poland",Český Těšín,,https://www.castorama.pl/sklepy/cieszyn.html?utm_source=maps&utm_medium=linkmap&utm_campaign=GoogleMaps&utm_id=gmap,iod@castorama.pl,ChIJadvxPVkBFEcR9pD7gUXBEgY,,SSL Error,iod@castorama.pl
Czech Republic,Kanceláře Sokolov - pronájem nebytových prostor,"B. Němcové 2042, 356 01 Sokolov 1, Czechia",Sokolov,,https://kancelare-sokolov.cz/,pronajem@kancelare-sokolov.cz,ChIJXa7KY9aToEcRIQdvPNWx0xo,pronajem@kancelare-sokolov.cz,,pronajem@kancelare-sokolov.cz
Czech Republic,Mobile Storage s.r.o.,"U Korečnice 2653, 688 01 Uherský Brod 1, Czechia",Uherský Brod,,http://www.mstorage.cz/,info@mstorage.cz,ChIJU-wDgoNpE0cRxX895Q5Q0tk,info@mstorage.cz,,info@mstorage.cz
Slovakia,"Event Service, s.r.o.","K cintorínu 93/41, Závodie, 010 04 Žilina, Slovakia",Žilina,,http://eventservice.sk/,,ChIJfyxBA1BfFEcR2Wc_JMKy058,info@eventservice.sk,,info@eventservice.sk
